gamma,cap,cost_avg,MI_decrease
0.1,0.1,5.48479392512014,0.7995630581970026
0.1,0.5,0.4027755886551603,0.4092467823457498
0.1,1.0,1.0196832514434708,0.44658436356471043
0.1,2.0,1.8131307884389463,0.47428629061937344
0.5,0.1,0.40037528772175446,0.40922254716677803
0.5,0.5,0.4004225695890775,0.4092344361213289
0.5,1.0,1.0661281225359684,0.637714524581858
0.5,2.0,1.6653435951950306,0.7029472287029273
1.0,0.1,0.7175892513748905,0.4840212207870421
1.0,0.5,0.7175956597525549,0.4840791456860592
1.0,1.0,0.9082818085239226,0.5677151881323779
1.0,2.0,1.346781507919268,0.6824908050339453
2.0,0.1,0.3986052974532458,0.4092560944954201
2.0,0.5,0.3906737181132933,0.409311744023405
2.0,1.0,0.825742952133189,0.5086535021163876
2.0,2.0,1.8040643489276498,0.6859532334266739
