gamma,cap,MI_decrease
0.1,0.1,0.3127538051353611
0.1,0.5,0.31282126043526237
0.1,1.0,0.31275716212998106
0.1,2.0,0.4655814310222007
0.5,0.1,0.312936527979289
0.5,0.5,0.3127791024436073
0.5,1.0,0.31281237252727107
0.5,2.0,0.5070546338552336
1.0,0.1,0.312936527979289
1.0,0.5,0.3127844947403449
1.0,1.0,0.3128113051823277
1.0,2.0,0.5054794262213811
2.0,0.1,0.31280055484986996
2.0,0.5,0.3129365279792893
2.0,1.0,0.3127865899924435
2.0,2.0,0.4627193330035643
