step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
420,1.0077950954437256,0.981532096862793,1.0559232234954834,1.0622531175613403,1.0621557235717773,0.9923263788223267,1.055846095085144,0.9859360456466675,1.0538073778152466,1.0622072219848633,1.0621702671051025,0.9827110767364502,0.983256459236145,1.0558693408966064,1.05586838722229,1.026932716369629
430,0.9878721237182617,0.9791460633277893,1.0554168224334717,1.061847448348999,1.0617563724517822,0.9854697585105896,1.0552564859390259,0.9817332625389099,1.0148372650146484,1.0618122816085815,1.0617705583572388,0.9798925518989563,0.9802228808403015,1.0553290843963623,1.0553375482559204,0.9892000555992126
440,0.9832427501678467,0.9773806929588318,1.054913878440857,1.061466097831726,1.0613808631896973,0.9819521307945251,1.0542519092559814,0.9790813326835632,0.9875799417495728,1.0614420175552368,1.0613946914672852,0.9778911471366882,0.9781070351600647,1.0547019243240356,1.0547542572021484,0.9838458895683289
450,0.9803886413574219,0.9759960770606995,1.0543797016143799,1.0611076354980469,1.0610281229019165,0.9795656800270081,1.0077787637710571,0.9771840572357178,0.9827722907066345,1.0610957145690918,1.0610418319702148,0.9763648509979248,0.9765112400054932,1.0511481761932373,1.0533714294433594,0.9807553291320801
460,0.9783651828765869,0.9748632311820984,1.053515911102295,1.0607709884643555,1.0606968402862549,0.9777979254722595,0.9887948036193848,0.9757265448570251,0.9799025058746338,1.0607714653015137,1.060709834098816,0.9751403331756592,0.9752416610717773,0.9938754439353943,0.9987258911132812,0.9786067605018616
470,0.9768246412277222,0.9739046096801758,1.0089417695999146,1.060455322265625,1.060385823249817,0.9764133095741272,0.9842618703842163,0.9745493531227112,0.977886974811554,1.0604681968688965,1.0603989362716675,0.9741202592849731,0.974189281463623,0.9861510396003723,0.9871221780776978,0.9769911170005798
480,0.9755932092666626,0.9730736613273621,0.9875433444976807,1.06015944480896,1.0600944757461548,0.9752824306488037,0.9814441204071045,0.9735649228096008,0.9763584136962891,1.0601850748062134,1.0601071119308472,0.9732457399368286,0.9732919931411743,0.9825875759124756,0.9831235408782959,0.9757099151611328
490,0.9745715856552124,0.9723406434059143,0.9830804467201233,1.059882640838623,1.0598217248916626,0.9743285775184631,0.9794229865074158,0.9727217555046082,0.9751374125480652,1.0599217414855957,1.0598342418670654,0.9724804162979126,0.972510576248169,0.9801965951919556,0.9805436730384827,0.9746529459953308
500,0.9736986756324768,0.9716871380805969,0.9803641438484192,1.0596239566802979,1.0595670938491821,0.9735037088394165,0.9778748154640198,0.9719884991645813,0.9741241335868835,1.0596777200698853,1.0595791339874268,0.9718024730682373,0.9718215465545654,0.9784300923347473,0.9786696434020996,0.9737545847892761
510,0.9729363918304443,0.9711020588874817,0.978429913520813,1.0593832731246948,1.0593299865722656,0.9727767109870911,0.9766355752944946,0.9713444709777832,0.9732605218887329,1.059451937675476,1.0593420267105103,0.9711971879005432,0.9712104201316833,0.9770515561103821,0.9772226214408875,0.9729740023612976
520,0.9722604751586914,0.9705754518508911,0.9769518375396729,1.0591591596603394,1.0591096878051758,0.9721278548240662,0.9756096005439758,0.9707752466201782,0.9725109338760376,1.059242844581604,1.0591217279434204,0.9706557989120483,0.9706651568412781,0.9759317636489868,0.9760562181472778,0.9722852110862732
530,0.9716554284095764,0.9701003432273865,0.9757670164108276,1.0589524507522583,1.0589063167572021,0.9715437293052673,0.9747372269630432,0.9702680706977844,0.9718524813652039,1.0590500831604004,1.05891752243042,0.9701690077781677,0.9701756834983826,0.9749945402145386,0.9750848412513733,0.9716711640357971
540,0.971110463142395,0.969668984413147,0.9747840166091919,1.0587620735168457,1.0587188005447388,0.9710159301757812,0.9739788174629211,0.9698125123977661,0.971268892288208,1.0588747262954712,1.0587303638458252,0.9697285890579224,0.9697340130805969,0.9741895198822021,0.9742544293403625,0.9711205959320068
550,0.9706178903579712,0.9692742228507996,0.973946213722229,1.058587908744812,1.0585476160049438,0.9705372452735901,0.9733071327209473,0.9694003462791443,0.9707485437393188,1.0587186813354492,1.0585588216781616,0.9693275094032288,0.9693320393562317,0.973483681678772,0.9735293984413147,0.9706251621246338
560,0.9701713919639587,0.9689089059829712,0.9732179045677185,1.0584301948547363,1.0583925247192383,0.9701016545295715,0.9727035760879517,0.9690225124359131,0.9702816009521484,1.05858314037323,1.058403491973877,0.9689590930938721,0.9689627885818481,0.9728543758392334,0.9728851318359375,0.9701768159866333
570,0.9697647094726562,0.9685657024383545,0.9725756645202637,1.0582886934280396,1.0582538843154907,0.9697033166885376,0.9721558094024658,0.9686719179153442,0.9698591232299805,1.0584722757339478,1.0582646131515503,0.9686156511306763,0.9686180353164673,0.9722865223884583,0.9723060727119446,0.9697687029838562
580,0.9693917036056519,0.9682343602180481,0.9720028638839722,1.058164119720459,1.0581315755844116,0.969336748123169,0.9716553092002869,0.9683389067649841,0.9694743156433105,1.0583927631378174,1.0581419467926025,0.9682892560958862,0.9682891368865967,0.9717693328857422,0.9717810750007629,0.9693953394889832
590,0.9690476059913635,0.967902660369873,0.9714884757995605,1.058056116104126,1.0580263137817383,0.9689962267875671,0.971196174621582,0.9680124521255493,0.9691205024719238,1.0583629608154297,1.0580366849899292,0.9679694175720215,0.9679655432701111,0.971295952796936,0.9713027477264404,0.9690500497817993
600,0.9687265753746033,0.9675578474998474,0.9710236191749573,1.0579663515090942,1.0579386949539185,0.9686760306358337,0.9707740545272827,0.9676792621612549,0.9687917232513428,1.0584341287612915,1.0579487085342407,0.9676432609558105,0.9676342010498047,0.9708619713783264,0.970865786075592,0.9687283039093018
610,0.9684221744537354,0.9672058820724487,0.9706014394760132,1.0578960180282593,1.0578712224960327,0.9683694243431091,0.9703855514526367,0.9673348665237427,0.9684807062149048,1.0587832927703857,1.0578800439834595,0.967304527759552,0.9672912955284119,0.9704627990722656,0.9704650640487671,0.9684221148490906
620,0.9681273102760315,0.9668726921081543,0.9702161550521851,1.0578477382659912,1.0578272342681885,0.9680665731430054,0.9700262546539307,0.9669957756996155,0.9681797623634338,1.0603171586990356,1.0578347444534302,0.9669668674468994,0.9669545888900757,0.9700955152511597,0.9700964689254761,0.9681246876716614
630,0.967832088470459,0.9665767550468445,0.969862699508667,1.0578317642211914,1.0578182935714722,0.9677554965019226,0.9696934819221497,0.9666832089424133,0.9678783416748047,1.0714702606201172,1.0578235387802124,0.9666546583175659,0.9666458368301392,0.9697555899620056,0.9697560667991638,0.9678248167037964
640,0.9675257205963135,0.9663198590278625,0.9695359468460083,1.0578902959823608,1.0578993558883667,0.9674298167228699,0.9693832993507385,0.9664057493209839,0.9675657153129578,1.1210381984710693,1.0578993558883667,0.9663779735565186,0.966372549533844,0.969440221786499,0.969440221786499,0.9675131440162659
650,0.9672078490257263,0.966093897819519,0.9692326188087463,1.058487057685852,1.0586446523666382,0.9671028256416321,0.969092607498169,0.9661619067192078,0.9672431349754333,1.8286370038986206,1.058640956878662,0.9661350250244141,0.9661319851875305,0.9691457152366638,0.9691455960273743,0.967192530632019
660,0.9668959379196167,0.9658924341201782,0.968948245048523,1.07000732421875,1.0760372877120972,0.966799259185791,0.9688178300857544,0.9659451842308044,0.9669299721717834,1.2045515775680542,1.0760077238082886,0.9659199118614197,0.9659188985824585,0.9688690304756165,0.9688682556152344,0.9668822288513184
670,0.9666101336479187,0.9657090902328491,0.9686795473098755,1.625213623046875,1.4308305978775024,0.9665321111679077,0.9685552716255188,0.9657498002052307,0.9666435122489929,1.7625515460968018,1.5305020809173584,0.9657258987426758,0.9657257795333862,0.9686067700386047,0.9686053395271301,0.9666005969047546
680,0.9663570523262024,0.9655393362045288,0.968421995639801,1.5277284383773804,4.269036293029785,0.966298520565033,0.9682995676994324,0.9655706286430359,0.966389000415802,1.856141209602356,2.4179673194885254,0.9655477404594421,0.9655486941337585,0.9683548808097839,0.9683519601821899,0.9663508534431458
690,0.9661338925361633,0.9653799533843994,0.9681700468063354,1.435576319694519,1.3596891164779663,0.9660922884941101,0.9680444002151489,0.9654040336608887,0.9661645293235779,2.1214635372161865,3.0092923641204834,0.9653820991516113,0.9653835892677307,0.9681084156036377,0.9681025147438049,0.9661306142807007
700,0.9659351110458374,0.965228796005249,0.9679158926010132,6.584529399871826,5.496659278869629,0.9659066200256348,0.9677801728248596,0.9652475714683533,0.96596360206604,2.113131523132324,2.3591532707214355,0.9652258157730103,0.9652279019355774,0.96785968542099,0.967849612236023,0.9659332633018494
710,0.9657548069953918,0.9650843739509583,0.9676517844200134,1.4172401428222656,1.3555281162261963,0.9657363891601562,0.9675012826919556,0.965099036693573,0.965781569480896,2.2042248249053955,2.1990182399749756,0.9650773406028748,0.9650802612304688,0.9676012992858887,0.9675858020782471,0.9657542109489441
720,0.9655890464782715,0.9649455547332764,0.9673752784729004,2.093162775039673,1.3652305603027344,0.9655787348747253,0.9672150015830994,0.9649578928947449,0.9656140804290771,2.0176451206207275,2.427446126937866,0.9649356603622437,0.964939296245575,0.9673299789428711,0.96731036901474,0.9655887484550476
730,0.9654335975646973,0.964810848236084,0.9670974016189575,1.3485769033432007,1.406577706336975,0.9654298424720764,0.9669418334960938,0.9648221731185913,0.9654579758644104,1.988154411315918,2.2397172451019287,0.9647991061210632,0.9648038148880005,0.9670550227165222,0.9670354723930359,0.965434193611145
740,0.9652875065803528,0.9646798372268677,0.9668353796005249,1.9172637462615967,1.4440772533416748,0.9652889966964722,0.9666953086853027,0.9646919369697571,0.9653106927871704,1.984131932258606,2.0307199954986572,0.9646667838096619,0.9646732211112976,0.9667935967445374,0.9667778015136719,0.9652884006500244
750,0.9651481509208679,0.9645514488220215,0.9665971398353577,1.487017035484314,1.5227996110916138,0.965154230594635,0.9664784669876099,0.9645660519599915,0.9651714563369751,1.9871537685394287,2.003370523452759,0.964538037776947,0.9645466804504395,0.9665564894676208,0.9665452837944031,0.9651500582695007
760,0.9650152325630188,0.9644255638122559,0.9663844704627991,2.826875925064087,1.400976538658142,0.9650243520736694,0.9662864804267883,0.9644434452056885,0.9650382399559021,1.9941606521606445,2.0023114681243896,0.9644116759300232,0.9644227623939514,0.9663459062576294,0.9663381576538086,0.9650174379348755
770,0.9648867249488831,0.9643006324768066,0.9661945104598999,2.171070098876953,1.98362398147583,0.9648987054824829,0.9661144614219666,0.9643232822418213,0.9649105668067932,1.9949676990509033,2.00134539604187,0.9642861485481262,0.9643000960350037,0.9661585688591003,0.9661532044410706,0.9648903012275696
780,0.9647628664970398,0.9641751050949097,0.966023325920105,1.8666170835494995,1.7509154081344604,0.9647764563560486,0.9659573435783386,0.9642032384872437,0.964787483215332,1.9968734979629517,2.000663995742798,0.9641588926315308,0.9641770720481873,0.9659891128540039,0.9659856557846069,0.9647673964500427
790,0.9646427035331726,0.9640470743179321,0.9658662676811218,1.9365390539169312,1.9496123790740967,0.9646574258804321,0.9658120274543762,0.9640820026397705,0.9646687507629395,1.997537612915039,2.0004148483276367,0.9640291929244995,0.9640519618988037,0.965834379196167,0.9658318758010864,0.9646486043930054
800,0.964525043964386,0.9639164209365845,0.9657209515571594,2.212892770767212,1.9993908405303955,0.9645406007766724,0.9656760096549988,0.9639567732810974,0.9645536541938782,1.9983052015304565,2.0002400875091553,0.9638973474502563,0.9639238119125366,0.9656904935836792,0.9656890034675598,0.9645328521728516
810,0.9644096493721008,0.9637858867645264,0.9655847549438477,2.118147373199463,2.0010738372802734,0.9644256830215454,0.9655476212501526,0.9638282060623169,0.9644415974617004,1.9989304542541504,2.000128746032715,0.9637674689292908,0.9637944102287292,0.9655560255050659,0.9655550718307495,0.9644196629524231
820,0.9642949104309082,0.9636634588241577,0.9654561281204224,1.9953336715698242,1.9972941875457764,0.9643120169639587,0.9654256105422974,0.9637014865875244,0.9643312692642212,1.9994083642959595,2.000060558319092,0.963649332523346,0.9636719822883606,0.9654282927513123,0.9654279351234436,0.9643076062202454
830,0.9641791582107544,0.9635542035102844,0.9653337597846985,1.9952740669250488,1.9971481561660767,0.9641980528831482,0.9653084874153137,0.9635857343673706,0.9642220139503479,1.9997648000717163,2.000004291534424,0.9635442495346069,0.9635620713233948,0.96530681848526,0.9653068780899048,0.9641955494880676
840,0.9640617370605469,0.9634574055671692,0.9652166366577148,1.9975723028182983,1.997821569442749,0.9640827775001526,0.9651961326599121,0.9634838104248047,0.9641118049621582,1.9999942779541016,1.9999732971191406,0.9634512662887573,0.9634653329849243,0.9651904106140137,0.9651908874511719,0.9640821218490601
850,0.9639418125152588,0.9633710384368896,0.9651040434837341,1.9991978406906128,1.9981300830841064,0.9639648199081421,0.9650869965553284,0.9633936882019043,0.9639990925788879,2.000136613845825,1.9999511241912842,0.9633674025535583,0.9633787870407104,0.9650782346725464,0.9650794863700867,0.9639661908149719
860,0.9638200998306274,0.963292121887207,0.9649955630302429,1.9997830390930176,1.9983675479888916,0.9638444781303406,0.9649814367294312,0.963312566280365,0.9638826251029968,2.000187873840332,1.9999350309371948,0.9632905721664429,0.9633000493049622,0.9649701714515686,0.9649718999862671,0.963847279548645
870,0.9637042880058289,0.9632192254066467,0.9648908972740173,1.9999700784683228,1.9985431432724,0.9637260437011719,0.9648786783218384,0.9632382988929749,0.963763952255249,2.0001678466796875,1.9999266862869263,0.9632189869880676,0.963227391242981,0.9648650288581848,0.9648676514625549,0.9637297987937927
880,0.9635989665985107,0.9631512761116028,0.9647895097732544,2.000009536743164,1.9986827373504639,0.9636158347129822,0.9647783637046814,0.9631689190864563,0.963649570941925,2.0000834465026855,1.999924659729004,0.963152289390564,0.9631597995758057,0.9647626876831055,0.9647664427757263,0.9636198878288269
890,0.9635053277015686,0.9630875587463379,0.9646908044815063,2.0000157356262207,1.9987913370132446,0.9635173082351685,0.9646801948547363,0.9631043076515198,0.9635456204414368,1.9999761581420898,1.9999161958694458,0.9630898237228394,0.9630966186523438,0.964663028717041,0.964667558670044,0.9635219573974609
900,0.9634214043617249,0.9630274176597595,0.9645950794219971,2.000001907348633,1.9988826513290405,0.9634293913841248,0.9645838737487793,0.9630433917045593,0.9634539484977722,1.9998624324798584,1.999915599822998,0.9630304574966431,0.9630367159843445,0.9645658135414124,0.9645717740058899,0.963434636592865
910,0.9633450508117676,0.9629702568054199,0.9645013213157654,1.9999980926513672,1.9989560842514038,0.9633503556251526,0.9644888043403625,0.9629856944084167,0.963371753692627,1.9997485876083374,1.9999098777770996,0.9629742503166199,0.962979793548584,0.9644696116447449,0.9644774198532104,0.9633558988571167
920,0.963274359703064,0.9629160165786743,0.9644092321395874,1.9999951124191284,1.9990264177322388,0.9632776379585266,0.9643953442573547,0.9629307389259338,0.9632970690727234,1.999667763710022,1.999908447265625,0.9629205465316772,0.9629257917404175,0.9643748998641968,0.9643845558166504,0.963283896446228
930,0.9632084965705872,0.9628650546073914,0.9643186926841736,1.9999969005584717,1.999079704284668,0.9632100462913513,0.9643023610115051,0.9628788828849792,0.9632282853126526,1.9995770454406738,1.9999206066131592,0.9628697037696838,0.9628745913505554,0.9642807245254517,0.9642922878265381,0.9632167816162109
