gamma,cap,cost_avg,MI_decrease
0.1,0.1,0.38901930671548096,0.4102249162790073
0.1,0.5,0.3915947796443788,0.41023025585929224
0.1,1.0,1.004337649546439,0.4456285632117828
0.1,2.0,1.8167641154391774,0.45517886133687163
0.5,0.1,0.39514668868505987,0.41022617462801114
0.5,0.5,0.3951964667752757,0.4102132959129212
0.5,1.0,0.9653426589431752,0.42943374067292284
0.5,2.0,1.533724977383915,0.46184934226917296
1.0,0.1,0.7357295031901097,0.4858517571642889
1.0,0.5,0.735734857425866,0.4860367831690122
1.0,1.0,0.8850740473265906,0.42026112622384704
1.0,2.0,1.2886334177692422,0.45882666717574216
2.0,0.1,0.39277053839746257,0.410343818922139
2.0,0.5,0.3865591186011874,0.41023073149486694
2.0,1.0,0.8609392168469322,0.5065993823953264
2.0,2.0,1.7579040485790456,0.4882701077092576
