step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
260,9.967938012778177e-07,0.685417115688324,0.02045961283147335,9.513362783764023e-06,1.214872463606298e-05,0.6854110360145569,0.07624784111976624,0.13761693239212036,0.023290690034627914,0.0032292213290929794,6.963086434552679e-06,9.804308547245455e-07,6.302406063696253e-07,1.2789791981049348e-06,6.031840484865825e-07,5.647509055961564e-07
270,9.566776952851797e-07,0.6853426098823547,0.021473055705428123,8.816119589027949e-06,1.147005968960002e-05,0.6853371858596802,0.08901777863502502,0.0777541846036911,0.049341458827257156,0.0035462924279272556,6.577740805369103e-06,9.394269682161394e-07,6.338121920634876e-07,1.8623929918248905e-06,5.960985163255828e-07,6.225359356903937e-07
280,8.451206099380215e-07,0.6852825880050659,0.02215188927948475,8.40310713101644e-06,1.0784069672808982e-05,0.6852778792381287,0.004882647655904293,0.06488050520420074,0.05044591799378395,0.0036045233719050884,6.329280040517915e-06,1.0267846164424554e-06,5.990946192468982e-07,2.5025087779795285e-06,6.48193577035272e-07,6.422343403755804e-07
290,8.889329023986647e-07,0.6852346062660217,0.02291920781135559,7.917029506643303e-06,1.0251842468278483e-05,0.6852307915687561,0.0018684965325519443,0.0493294820189476,0.08739566057920456,0.003787882160395384,6.085469522076892e-06,8.676088327774778e-07,6.549489626195282e-07,2.9538923627114855e-06,6.92503363097785e-07,6.3293686025645e-07
300,8.526740202796645e-07,0.6851966977119446,0.02367907017469406,7.483459739887621e-06,9.60228317126166e-06,0.6851933002471924,0.0010971809970214963,0.0716785117983818,0.03287285193800926,0.00399022689089179,5.805421551485779e-06,8.313496664413833e-07,7.933911092550261e-07,3.3897154025908094e-06,8.106823088382953e-07,7.218418431875762e-07
310,8.613042723482067e-07,0.6851669549942017,0.02425931580364704,7.086692676239181e-06,9.198335646942724e-06,0.6851640343666077,0.0008040460525080562,0.058096107095479965,0.02832501009106636,0.004147454630583525,5.531881470233202e-06,9.209911127072701e-07,8.635979042992403e-07,3.6259934859117493e-06,9.236701998815988e-07,1.03264142126136e-06
320,8.308474548357481e-07,0.685143768787384,0.024790775030851364,6.836021384515334e-06,8.68031111167511e-06,0.6851415634155273,0.0006725034327246249,0.07709550112485886,0.04487620294094086,0.0040626502595841885,5.289884938974865e-06,8.102402944132336e-07,1.0405140073999064e-06,3.855846443912014e-06,1.1016265943908365e-06,1.1122511978101102e-06
330,8.419093546763179e-07,0.685126006603241,0.025350268930196762,6.600939741474576e-06,8.36013896332588e-06,0.6851242184638977,0.0006425917963497341,0.12722963094711304,0.039213355630636215,0.00326547771692276,5.085305929242168e-06,7.810893407622643e-07,1.422019977326272e-06,3.766316240216838e-06,1.2784366845153272e-06,1.464693013986107e-06
340,7.736763905086264e-07,0.6851128935813904,0.02582421712577343,6.469142135756556e-06,8.07089963927865e-06,0.6851111054420471,0.0008686043438501656,0.12985733151435852,0.07745750993490219,0.0029981513507664204,4.833457751374226e-06,7.925650606921408e-07,1.8090852336172247e-06,3.885647402057657e-06,1.9179137780156452e-06,1.935805130415247e-06
350,8.294172175737913e-07,0.6851025819778442,0.026350533589720726,6.170116193970898e-06,7.567016837128904e-06,0.6851011514663696,0.023211881518363953,0.07851748913526535,0.10918273776769638,0.002891545183956623,4.688213721237844e-06,8.466132612738875e-07,2.6129689558729297e-06,3.8920461520319805e-06,2.8691233637800906e-06,2.8448419016058324e-06
360,6.835024919382704e-07,0.6850951313972473,0.026924733072519302,6.014405244059162e-06,7.489420568163041e-06,0.685093879699707,0.1132873073220253,0.3456241190433502,0.05896114557981491,0.0031691761687397957,4.5722490540356375e-06,7.837321618353599e-07,4.03859712605481e-06,3.933644620701671e-06,4.544322109722998e-06,4.5194392441771924e-06
370,6.973294830459054e-07,0.6850898265838623,0.027466731145977974,5.883257017558208e-06,7.80710433900822e-06,0.685088574886322,0.11485687643289566,0.21204285323619843,0.031037086620926857,0.0036145327612757683,4.4361322579788975e-06,7.137433613024768e-07,7.174939582910156e-06,3.7688359952881e-06,8.321894711116329e-06,8.331971912411973e-06
380,7.560516905869008e-07,0.6850858926773071,0.027972236275672913,5.8776226978807244e-06,9.162591595668346e-06,0.6850849390029907,0.11061128973960876,0.17424321174621582,0.04320936277508736,0.004506470635533333,4.256228749000002e-06,7.349984230131668e-07,1.4033792467671447e-05,3.7580573462037137e-06,1.5433002772624604e-05,1.565601814945694e-05
390,7.29876830973808e-07,0.6850833296775818,0.028475312516093254,5.79816332901828e-06,8.785508725850377e-06,0.685082197189331,0.10670211911201477,0.2238643616437912,0.03289494290947914,0.005372964311391115,4.080162398167886e-06,7.047435133245017e-07,1.8762471881927922e-05,3.7932459235889837e-06,1.582542790856678e-05,1.6635609426884912e-05
